Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,1.719856736,1.53134854,0.312969238,0.407236844
2,1.512696205,1.385647502,0.410191447,0.47626099
3,1.425703535,1.378404916,0.450535864,0.476206124
4,1.367784013,1.331535917,0.478639275,0.478262037
5,1.324139946,1.326618774,0.492824733,0.483552635
6,1.29414001,1.311135838,0.503446877,0.509813607
7,1.266058683,1.276728845,0.516350389,0.534813583
8,1.255420246,1.191492304,0.522108674,0.538569093
9,1.235479358,1.186137059,0.52883637,0.539692998
10,1.221585668,1.184348296,0.534170449,0.554879367
11,1.201564736,1.163231193,0.53797394,0.564501107
12,1.193981601,1.259270622,0.543420613,0.534758806
13,1.184729042,1.227506421,0.549726009,0.535635948
14,1.178352744,1.128949116,0.550747037,0.581907928
15,1.162799347,1.099520774,0.555698216,0.584923267
16,1.146796301,1.129548796,0.565177381,0.570285082
17,1.143695047,1.138717023,0.567730844,0.571381569
18,1.133258292,1.098196669,0.566662908,0.594764233
19,1.122501228,1.068382866,0.573823214,0.595668852
20,1.118500175,1.073513428,0.575321853,0.594846487
21,1.118623967,1.0654068,0.575423241,0.600603104
22,1.107053448,1.0454853,0.580353796,0.609539509
23,1.102030405,1.099390708,0.583986521,0.581688583
24,1.101820009,1.098343057,0.583756566,0.588815808
25,1.09422029,1.056244518,0.586635709,0.605427682
26,1.088748196,1.024856106,0.587765574,0.611814678
27,1.083257292,1.041537031,0.590321898,0.611348689
28,1.078721405,1.085879834,0.59094125,0.592489004
29,1.069691233,1.032210723,0.593235731,0.611951709
30,1.067263497,1.023720145,0.595022559,0.621655703
31,1.059679531,1.025795995,0.596235037,0.619956195
32,1.061905127,1.066914419,0.59922111,0.605783939
33,1.047255016,1.10256343,0.601715505,0.601178765
34,1.047150767,1.017570583,0.603283644,0.622368395
35,1.05300311,1.01570399,0.599082232,0.619078934
36,1.042825027,1.011260535,0.605404496,0.628810287
37,1.034213585,1.016835593,0.610487103,0.625822365
38,1.036050893,1.010894382,0.608296752,0.622779608
39,1.031930137,1.005712325,0.610834301,0.624534011
40,1.030999261,0.993722209,0.609659374,0.628481328
41,1.025725273,1.041648219,0.613011479,0.608689725
42,1.015697034,1.019614907,0.614239872,0.622258782
43,1.015720157,1.033311086,0.613435626,0.622423291
44,1.012527675,1.060454754,0.615687907,0.608443022
45,1.009414946,1.049177084,0.617121816,0.615487933
